tar,Coke_1030(c),Coke_1030(s),Coke_1030(humidity),Coke_1030(s112),Coke_1030(s112_315),Coke_1030(s315),Coke_Fine(c),Coke_Fine(s),Coke_Fine(humidity),Coke_Fine(s05),Coke_Fine(s05_335),Coke_Fine(s335),dolomite(cao),dolomite(mgo),dolomite(s0_95),dolomite(s95_385),dolomite(s385_1000),lime(cao),lime(mgo),lime(s0_95),lime(s95_508),dri(fe_metal),dri(fe_total),dri(md),dri(c),dri(cao),dri(sio2),dri(mgo),dri(al2o3),dri(p),dri(mno),dri(gunge),dri(feo),dri(feo_c)
14021129,81.1,1.02,0.0,4.0,94.8,1.2,84.34,1.08,0.1,2.29,96.54,1.17,54.27,32.8,2.67,64.0,0.0,91.13,1.2,4.0,96.0,80.23,87.58,91.6,1.65,0.0,0.0,0.0,0.0,0.0,0.0,8.66,9.46,5.78
14021130,81.1,1.13,0.0,2.33,94.33,3.33,84.34,1.08,0.1,2.29,96.54,1.17,54.1,33.07,2.33,64.33,0.0,91.53,1.2,4.0,96.0,78.65,88.2,89.2,1.65,0.49,2.48,0.33,0.48,0.06,0.02,7.41,12.29,7.45
14021201,80.77,1.23,0.0,3.0,94.0,3.0,98.69,0.22,0.0,1.0,99.0,0.0,54.17,33.13,2.33,64.33,0.0,91.45,1.2,3.5,96.5,79.5,86.72,91.7,1.7,0.17,0.84,0.11,0.16,0.02,0.01,9.52,9.28,5.52
14021202,80.8,1.17,0.0,2.14,95.57,2.29,98.51,0.29,0.0,1.0,99.0,0.0,54.1,33.2,2.0,98.0,0.0,91.7,1.2,4.33,95.67,79.9,86.88,91.95,1.78,0.24,1.24,0.18,0.24,0.03,0.01,9.35,8.97,5.07
14021203,81.69,1.22,0.13,2.14,96.18,1.68,98.64,0.26,0.0,1.0,99.0,0.0,54.45,32.8,1.0,49.0,0.0,91.22,1.2,4.75,95.25,80.4,87.3,92.13,1.73,0.32,1.73,0.26,0.33,0.03,0.01,8.99,8.88,5.12
14021204,81.69,1.22,0.13,2.14,96.18,1.68,98.59,0.28,0.0,1.0,99.0,0.0,54.9,32.55,2.5,97.5,0.0,91.0,1.2,4.0,96.0,81.8,87.6,93.4,1.9,0.3,1.8,0.27,0.33,0.03,0.01,8.84,7.46,3.93
14021205,80.5,1.22,0.0,4.44,94.56,1.0,98.62,0.29,0.0,1.0,99.0,0.0,54.7,32.83,2.67,64.0,0.0,90.85,1.2,4.5,95.5,82.65,87.95,93.95,1.6,0.46,2.4,0.35,0.46,0.06,0.02,8.93,6.82,4.26
14021206,80.43,1.3,0.0,5.0,93.67,1.33,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,82.37,88.0,93.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0,8.69,7.25,4.29
14021207,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,80.47,86.3,93.22,1.6,0.23,1.2,0.17,0.23,0.03,0.01,10.43,7.49,4.69
14021208,80.65,1.3,0.0,3.67,94.0,2.33,98.5,0.3,0.0,1.0,99.0,0.0,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,81.13,86.8,93.47,1.73,0.31,1.6,0.28,0.3,0.04,0.01,9.84,7.29,4.25
14021209,80.92,1.32,0.0,1.25,90.5,8.25,98.63,0.27,0.0,1.0,99.0,0.0,54.3,32.35,1.0,49.0,0.0,91.48,1.2,4.0,96.0,80.12,86.32,92.8,1.68,0.23,1.16,0.14,0.22,0.03,0.01,10.22,7.98,4.9
14021210,80.35,1.35,0.0,4.5,94.0,1.5,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,81.05,86.85,93.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.69,7.46,4.15
14021211,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.4,32.65,2.0,48.0,0.0,91.1,1.2,3.0,97.0,77.33,84.93,91.03,1.67,0.0,0.0,0.0,0.0,0.0,0.0,11.22,9.78,6.28
