heat_no,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels
4032809,27.6,17.9,28.1,15.2,6.1,0.343,0.313,0.98,0.81,1.25,1
4032815,29.9,18.4,25.8,15.0,5.6,0.371,0.264,1.16,0.95,1.43,1
4032818,31.0,17.7,25.5,14.8,5.7,0.359,0.262,1.22,0.99,1.47,1
4032832,29.2,29.8,20.0,10.8,4.7,0.348,0.374,1.46,1.18,1.62,1
4032835,29.7,26.4,22.4,11.5,4.5,0.336,0.276,1.33,1.1,1.53,1
4032840,28.4,28.5,21.3,12.0,4.6,0.325,0.315,1.33,1.1,1.56,1
4032846,30.7,16.5,27.8,14.2,5.3,0.609,0.255,1.1,0.93,1.36,3
4032851,26.4,30.2,21.9,11.7,3.9,0.716,0.212,1.21,1.02,1.48,2
4032852,24.8,30.3,23.2,11.7,4.1,0.789,0.216,1.07,0.91,1.34,3
4032855,25.9,23.7,27.0,12.6,4.8,0.788,0.241,0.96,0.81,1.21,3
4032857,27.1,23.7,26.3,12.3,4.7,0.792,0.24,1.03,0.87,1.27,3
4032860,27.5,26.3,23.6,12.4,4.4,0.78,0.244,1.17,0.98,1.43,3
4032864,29.6,26.3,23.2,11.2,4.3,0.773,0.23,1.28,1.08,1.48,0
4032865,28.6,27.0,23.7,10.5,4.6,0.872,0.244,1.21,1.01,1.38,3
4032868,29.5,26.0,24.3,10.4,4.4,0.851,0.237,1.21,1.03,1.39,3
4032870,28.5,25.7,24.8,11.1,4.4,0.897,0.231,1.15,0.98,1.36,3
4032872,30.8,21.8,25.6,11.8,4.5,0.905,0.228,1.2,1.02,1.42,3
4032878,30.6,14.4,29.9,14.1,5.6,0.653,0.269,1.02,0.86,1.26,3
4032885,28.5,23.7,25.4,12.1,4.6,0.788,0.288,1.12,0.95,1.35,3
4032888,28.3,23.1,25.8,12.6,4.6,0.784,0.281,1.1,0.93,1.35,3
4032890,28.5,26.0,24.2,11.4,4.2,0.806,0.248,1.18,1.0,1.4,3
4032893,27.9,28.5,22.8,11.2,4.0,0.788,0.234,1.22,1.04,1.46,3
4032896,26.0,31.8,22.3,10.1,4.0,0.843,0.227,1.17,0.99,1.37,2
4032904,28.0,27.6,23.4,10.9,4.3,0.788,0.263,1.2,1.01,1.4,3
4032905,30.7,20.2,26.2,12.4,4.7,0.77,0.292,1.17,0.99,1.39,3
4032907,27.1,26.3,25.8,10.5,4.6,0.697,0.228,1.05,0.89,1.24,3
4032910,31.7,16.8,27.8,12.5,5.3,0.85,0.273,1.14,0.96,1.34,3
4032912,32.3,17.0,28.0,12.0,4.9,0.819,0.241,1.15,0.98,1.35,3
4032915,30.7,21.2,26.2,11.5,4.6,0.826,0.227,1.17,1.0,1.37,3
4032917,25.4,32.6,21.0,11.6,3.8,0.735,0.211,1.21,1.02,1.49,2
4032918,29.9,23.5,24.1,12.3,4.2,0.842,0.229,1.24,1.06,1.49,3
4032925,30.0,24.8,24.2,11.0,4.4,0.817,0.239,1.25,1.05,1.44,3
4032927,33.3,17.9,27.5,11.1,4.7,0.759,0.243,1.21,1.03,1.38,3
4032930,29.8,24.3,25.3,10.7,4.3,0.876,0.234,1.18,1.01,1.37,3
4032932,29.0,25.0,25.3,11.0,4.2,0.855,0.239,1.15,0.98,1.36,3
4032938,28.8,24.1,25.9,11.1,4.5,0.805,0.282,1.11,0.95,1.31,3
4032940,28.2,24.6,25.5,11.6,4.5,0.803,0.248,1.11,0.94,1.33,3
4032945,26.8,31.7,21.7,10.7,3.8,0.774,0.207,1.24,1.05,1.47,2
4032947,25.2,36.5,19.0,10.2,3.6,0.712,0.213,1.33,1.12,1.57,2
4032955,26.3,31.5,22.0,10.5,3.8,0.74,0.249,1.2,1.02,1.43,2
4032957,26.9,27.6,24.0,11.3,4.2,0.736,0.257,1.12,0.95,1.35,3
4032960,25.3,31.2,22.6,10.6,4.4,0.749,0.278,1.12,0.94,1.33,3
4032962,28.9,26.8,22.8,11.1,4.3,0.764,0.345,1.27,1.07,1.48,0
4032966,27.0,28.6,23.0,11.5,4.0,0.783,0.23,1.17,1.0,1.43,3
4032968,26.5,29.1,23.1,11.4,4.0,0.776,0.235,1.15,0.98,1.4,3
4032972,26.1,30.8,22.1,11.4,3.8,0.742,0.212,1.18,1.01,1.45,2
4032975,26.0,29.2,23.9,11.2,4.2,0.799,0.253,1.09,0.93,1.32,3
