heat_no,tar (Slag),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag)
4033189,14030701,29.0,29.2,22.3,9.3,4.3,0.9,0.24,1.3,1.09,1.44
4033190,14030701,28.6,31.3,21.1,9.4,3.9,0.895,0.213,1.36,1.14,1.52
4033194,14030701,30.9,25.6,23.8,9.5,4.4,0.895,0.257,1.3,1.1,1.43
4033195,14030701,29.2,29.9,21.8,9.1,4.1,0.856,0.238,1.34,1.13,1.48
4033200,14030701,28.7,29.4,22.1,10.0,4.0,0.866,0.245,1.3,1.1,1.48
4033202,14030701,29.2,29.0,22.1,10.2,3.8,0.845,0.23,1.32,1.13,1.52
4033207,14030702,31.4,25.5,23.0,10.1,4.4,0.886,0.262,1.37,1.15,1.51
4033210,14030702,31.3,23.9,24.0,10.8,4.5,0.889,0.256,1.3,1.1,1.48
4033213,14030702,34.1,18.3,26.3,10.7,4.8,1.022,0.281,1.3,1.1,1.44
4033215,14030702,31.2,21.7,25.3,11.4,4.8,0.886,0.261,1.23,1.04,1.42
4033221,14030702,26.5,35.7,19.0,9.7,3.6,0.835,0.222,1.39,1.17,1.6
4033224,14030702,30.2,30.2,21.1,9.2,3.8,0.964,0.214,1.43,1.21,1.58
4033225,14030702,28.1,34.1,19.9,8.7,3.7,0.844,0.233,1.41,1.19,1.56
4033231,14030703,25.1,37.1,19.3,9.4,3.6,0.888,0.246,1.3,1.1,1.51
4033234,14030703,29.1,28.3,22.7,9.6,4.4,0.988,0.276,1.28,1.07,1.42
4033237,14030703,27.7,35.7,18.2,9.1,3.5,0.91,0.228,1.52,1.28,1.7
4033240,14030703,26.7,36.8,17.8,9.4,3.5,0.877,0.221,1.5,1.25,1.69
4033247,14030704,28.9,31.6,20.5,9.4,3.6,0.946,0.254,1.41,1.2,1.59
4033250,14030704,31.8,28.2,21.0,8.7,4.2,0.986,0.239,1.51,1.26,1.61
4033252,14030704,29.3,31.1,20.1,9.6,3.8,0.982,0.234,1.46,1.23,1.63
4033255,14030704,31.4,25.2,23.0,10.2,4.2,1.031,0.247,1.37,1.15,1.53
4033259,14030704,31.8,28.9,19.9,9.6,3.6,1.035,0.219,1.6,1.35,1.76
4033263,14030704,30.9,28.6,20.8,9.4,4.0,1.097,0.243,1.49,1.25,1.62
4033268,14030705,29.8,28.0,21.9,10.5,3.9,1.03,0.254,1.36,1.16,1.56
4033270,14030705,30.3,28.3,21.5,10.0,4.0,0.996,0.246,1.41,1.19,1.58
4033273,14030705,30.7,27.6,21.8,9.9,4.1,1.06,0.249,1.41,1.19,1.57
4033279,14030705,28.8,31.5,20.2,10.0,3.7,0.976,0.219,1.43,1.21,1.62
4033280,14030705,29.2,31.5,19.8,10.0,3.8,0.972,0.224,1.47,1.24,1.66
4033290,14030706,27.2,36.8,17.6,9.0,3.5,0.877,0.205,1.55,1.29,1.72
