tar,fe_metal (DRI),fe_total (DRI),md (DRI),c (DRI),gunge (DRI),feo (DRI),Dri_labels
14030515,80.0,86.3,92.7,2.0,9.9,8.1,1
14030516,80.5,87.0,92.5,2.2,8.94,8.36,0
14030517,78.7,86.2,91.3,1.85,9.8,9.65,1
14030518,79.7,85.9,92.8,2.1,10.22,7.98,1
14030519,79.9,86.2,92.7,1.85,10.15,8.1,1
14030521,79.9,86.25,92.65,1.75,10.18,8.17,1
14030522,79.45,86.05,92.35,2.0,10.06,8.49,1
14030523,78.8,85.8,91.85,1.95,10.24,9.01,1
14030524,81.0,87.2,92.9,1.8,9.22,7.98,0
14030525,80.75,87.05,92.75,1.9,9.25,8.1,0
14030526,79.0,86.1,91.77,1.93,9.93,9.13,1
14030527,79.47,85.67,92.77,1.83,10.72,7.98,1
14030528,80.8,86.5,93.4,2.0,9.87,7.33,1
14030529,78.95,86.1,91.7,2.0,9.85,9.2,1
14030530,79.8,86.3,92.5,1.9,9.94,8.36,1
14030531,80.9,86.6,93.4,1.75,10.02,7.33,1
14030601,76.95,85.3,90.2,1.8,10.51,10.74,1
14030602,78.97,86.43,91.37,1.97,9.46,9.61,1
14030603,78.8,86.4,91.2,1.85,9.57,9.78,1
14030604,78.05,85.45,91.3,1.85,10.58,9.52,1
14030605,81.85,88.15,92.85,2.55,7.5,8.1,0
14030606,79.97,87.57,91.33,2.03,8.22,9.78,0
14030607,79.03,86.2,91.67,2.1,9.65,9.22,1
14030608,79.5,86.5,92.0,1.8,9.69,9.01,1
14030609,80.8,87.6,92.2,2.6,7.85,8.75,0
14030610,80.53,87.37,92.17,0.77,9.91,8.79,0
14030611,81.8,87.8,93.17,0.0,10.48,7.72,0
14030612,81.2,87.6,92.7,0.0,10.57,8.23,0
14030613,79.95,86.25,92.7,0.0,11.95,8.1,0
14030614,79.57,86.93,91.5,1.57,9.39,9.48,1
14030615,80.32,86.3,93.02,2.02,9.96,7.69,1
14030616,82.35,87.6,94.0,1.9,9.0,6.75,0
14030617,80.83,87.37,92.5,1.9,8.86,8.4,0
14030618,80.17,87.73,91.37,1.9,8.2,9.73,0
14030619,80.8,86.97,92.9,2.3,8.97,7.93,0
14030620,82.5,87.55,94.25,1.65,9.35,6.5,0
14030621,81.45,88.0,92.55,1.65,8.47,8.43,0
14030622,80.9,86.87,93.13,2.03,9.39,7.68,1
14030623,81.25,87.65,92.7,1.8,8.72,8.23,0
14030624,80.6,86.85,92.8,1.95,9.41,8.04,1
14030625,80.8,86.75,93.15,1.65,9.9,7.65,1
14030626,80.0,86.55,92.45,2.0,9.57,8.43,1
14030627,77.63,86.1,90.15,1.68,9.79,10.89,1
14030628,78.5,86.2,91.1,1.8,9.79,9.91,1
14030629,78.5,86.3,91.0,1.6,9.86,10.04,1
14030630,79.7,86.65,91.95,1.95,9.41,8.94,1
14030631,80.07,86.43,92.63,1.9,9.84,8.19,1
14030701,80.8,86.93,92.93,1.93,9.38,7.89,1
14030702,79.15,86.65,91.35,1.6,9.6,9.65,1
14030703,79.2,86.45,91.65,1.9,9.57,9.33,1
14030704,80.83,86.73,93.2,1.97,9.61,7.59,1
14030705,78.6,86.6,90.8,1.9,9.21,10.29,1
14030706,79.6,86.45,92.1,2.15,9.44,8.81,1
14030707,80.13,86.6,92.53,2.03,9.51,8.32,1
14030708,79.9,86.37,92.5,2.2,9.58,8.32,1
14030709,80.1,86.35,92.8,2.1,9.76,8.04,1
14030710,80.7,86.5,93.3,2.1,9.74,7.46,1
14030711,80.53,86.5,93.1,1.87,9.92,7.68,1
14030712,80.17,86.0,93.2,1.87,10.46,7.5,1
14030713,80.5,86.4,93.13,2.0,9.91,7.59,1
14030714,81.0,86.4,93.7,1.9,10.15,6.95,1
14030715,80.2,86.8,92.4,2.1,9.21,8.49,0
14030716,79.7,86.47,92.17,2.0,9.59,8.71,1
14030717,80.53,86.68,92.88,1.98,9.59,7.91,1
14030718,78.1,86.23,90.53,1.87,9.57,10.46,1
14030719,79.53,85.7,92.8,2.07,10.47,7.93,1
14030720,80.57,86.3,93.33,1.93,10.12,7.38,1
14030721,80.73,86.57,93.3,2.0,9.76,7.5,1
14030722,79.75,85.95,92.8,2.0,10.27,7.98,1
14030723,79.4,85.37,93.0,2.0,10.92,7.68,1
14030724,80.43,85.97,93.6,2.1,10.35,7.12,1
14030725,80.03,86.53,92.47,1.83,9.77,8.36,1
14030726,80.5,86.6,92.95,1.75,9.9,7.85,1
14030727,80.83,87.1,92.8,2.03,9.07,8.06,0
14030728,79.97,86.43,92.53,1.9,9.81,8.32,1
14030729,79.5,85.9,92.55,1.75,10.52,8.23,1
14030730,78.6,86.3,91.05,1.9,9.59,9.91,1
14030801,79.77,86.23,92.5,1.77,10.15,8.32,1
14030802,82.2,87.7,93.7,1.7,9.02,7.08,0
14030803,80.55,86.6,93.0,1.82,9.84,7.78,1
14030804,80.53,86.3,93.3,1.63,10.41,7.42,1
14030805,79.55,86.0,92.5,1.6,10.55,8.3,1
14030806,80.6,86.9,92.8,1.9,9.4,8.1,1
14030807,79.63,86.77,91.77,1.47,9.72,9.18,1
14030808,79.92,86.44,92.44,1.78,9.91,8.39,1
14030809,80.03,86.63,92.37,1.87,9.61,8.49,1
14030810,78.93,86.27,91.47,1.93,9.7,9.43,1
14030811,80.7,86.4,93.4,1.9,10.07,7.33,1
14030812,79.35,86.2,92.05,1.8,10.04,8.81,1
14030813,79.17,86.5,91.53,2.0,9.4,9.43,1
14030814,79.9,86.63,92.23,2.17,9.27,8.66,1
14030815,80.83,87.67,92.2,1.87,8.51,8.79,0
14030816,79.42,85.92,92.44,1.7,10.52,8.36,1
14030817,78.82,85.52,92.18,1.85,10.71,8.62,1
14030818,79.12,86.25,91.72,1.9,9.81,9.17,1
14030819,80.0,86.16,92.86,1.78,10.3,7.92,1
14030820,79.8,86.5,92.25,1.9,9.68,8.62,1
14030821,76.73,85.47,89.8,1.87,10.16,11.24,1
14030822,80.67,87.4,92.27,1.5,9.17,8.66,0
14030823,79.49,86.54,91.84,1.83,9.61,9.08,1
14030825,79.55,86.25,92.22,1.88,9.96,8.62,1
14030826,81.6,87.57,93.17,1.87,8.86,7.68,0
14030827,80.5,87.43,92.1,1.92,8.67,8.91,0
14030828,81.03,86.85,93.28,2.0,9.48,7.49,1
14030829,81.05,86.5,93.7,2.0,9.94,7.01,1
14030830,80.55,87.0,92.58,1.8,9.35,8.3,0
14030901,80.14,87.0,92.14,1.82,9.21,8.83,0
14030902,80.5,86.87,92.67,1.83,9.48,8.19,0
14030903,79.17,86.43,91.6,1.97,9.52,9.35,1
14030904,79.57,86.17,92.33,2.0,9.94,8.49,1
14030905,80.07,86.43,92.63,1.97,9.78,8.19,1
14030906,80.3,86.8,92.5,1.75,9.59,8.36,0
14030907,81.4,87.27,93.3,2.0,9.05,7.55,0
14030908,80.2,87.17,92.0,2.17,8.67,8.96,0
14030909,80.62,87.1,92.55,1.98,9.07,8.33,0
14030910,78.63,86.47,90.9,1.83,9.46,10.08,1
14030911,81.23,87.37,93.0,2.03,8.84,7.89,0
14030912,80.1,86.3,92.8,1.9,10.02,7.98,1
14030913,78.82,86.52,91.1,2.18,9.09,9.91,1
14030914,79.83,86.1,92.7,2.03,10.07,8.06,1
14030915,80.27,87.1,92.13,1.87,9.08,8.79,0
